	pseudotime	branches	scalings
cell_86	161	2	2.3913528977897323
cell_87	146	2	1.3468871880726492
cell_88	295	4	1.4196802309271446
cell_89	298	3	1.6990805558662576
cell_90	125	2	0.4985077398058275
cell_91	172	1	2.5162465104898697
cell_92	254	4	2.2031840352680634
cell_93	235	3	1.7095218936736696
cell_94	123	2	0.41560980530001107
cell_95	214	4	0.5182799291626807
cell_96	100	2	0.680800873159905
cell_97	141	2	3.500997010165641
cell_98	279	3	0.4289357852309641
cell_99	149	2	0.4932761659467858
cell_100	234	3	3.0609642814806297
cell_101	164	2	1.3075530341673418
cell_102	53	0	1.5605696118008217
cell_103	266	4	0.5439965356469213
cell_104	101	2	0.8103654255099094
cell_105	174	1	0.6091552146134696
cell_106	137	2	0.5306658101568015
cell_107	191	1	0.6877842345954428
cell_108	270	4	1.3904463393123003
cell_109	150	1	1.7152548329073296
cell_110	94	0	1.0879212338190645
cell_111	18	0	2.895246879140217
cell_112	74	0	0.4751244002551497
cell_113	39	0	1.6950344401244408
cell_114	284	4	0.8802969300099807
cell_115	44	0	0.38402865539971226
cell_116	274	3	1.1895463799951338
cell_117	217	4	0.8544736345613574
cell_118	91	0	1.0792476393882504
cell_119	265	4	1.0287428874261264
cell_120	110	2	0.2977993526335956
cell_121	218	3	0.30147902379279135
cell_122	75	0	0.7487433193747356
cell_123	2	0	0.1434852796087305
cell_124	185	1	0.5048852959236676
cell_125	277	4	1.1119858561285072
cell_126	223	4	2.5239618115413163
cell_127	151	2	0.5785464257927105
cell_128	216	4	4.610677754890664
cell_129	78	0	0.7647643638544817
cell_130	132	1	1.410245566147113
cell_131	131	2	1.3063185091134253
cell_132	56	0	0.48725428959876715
cell_133	199	1	1.5836595907687256
cell_134	121	2	3.121142116853895
cell_135	225	4	0.6757928482155187
cell_136	287	3	0.4401140574617381
cell_137	295	3	0.6773556828665281
cell_138	28	0	1.2596762459802768
cell_139	251	4	0.7996387434098079
cell_140	75	0	1.5268894684398537
cell_141	116	1	2.8137988312490556
cell_142	144	2	0.38523287702487863
cell_143	149	1	0.8937251644248482
cell_144	216	3	0.47122217127992816
cell_145	195	1	0.7222329971951744
cell_146	222	3	0.976828018103215
cell_147	224	4	0.6532073007766742
cell_148	109	2	3.1173531614413545
cell_149	279	4	0.4136475958110779
cell_150	19	0	0.9429628008341027
cell_151	184	2	0.5574729685418951
cell_152	43	0	0.4523991804256511
cell_153	125	2	0.39378059021844425
cell_154	189	1	0.9850096569593685
cell_155	288	3	0.8447709292710823
cell_156	220	3	0.5049688820817106
cell_157	291	3	0.46305168497275423
cell_158	106	1	3.804091206516262
cell_159	116	1	1.719359503709284
cell_160	2	0	0.8196371596959855
cell_161	149	2	0.9001585251641162
cell_162	85	0	1.7580797136479602
cell_163	125	1	1.3034632632750043
cell_164	81	0	0.9094293846830444
cell_165	113	1	1.8207387451018897
cell_166	100	1	1.4750386265938944
cell_167	202	3	1.9776214002793506
cell_168	101	2	2.2338261191603657
cell_169	69	0	0.8195335278126297
cell_170	118	2	1.0966379281149186
cell_171	201	3	3.1376147055157118
cell_172	7	0	1.082859301096208
cell_173	117	2	1.6573093186086594
cell_174	299	4	0.7122806564674362
cell_175	274	4	2.1309340453809487
cell_176	245	4	0.48067378068554373
cell_177	227	3	4.917634752542401
cell_178	168	2	1.8670566985004713
cell_179	112	2	0.946796397376787
cell_180	175	1	1.7678309993425134
cell_181	294	4	0.7184598455317859
cell_182	250	4	1.3502983899673855
cell_183	95	0	0.4801261103216777
cell_184	260	3	0.7158233403540797
cell_185	144	2	0.45304596559220495
cell_186	177	1	1.8601086571498284
cell_187	138	1	0.2668364382803022
cell_188	275	4	1.1499406159812944
cell_189	7	0	0.4662532584304441
cell_190	84	0	1.5217467468334893
cell_191	167	1	0.4861084905766865
cell_192	275	3	0.8269379236480694
cell_193	138	1	0.4232681109027116
cell_194	192	2	1.061239286587561
cell_195	37	0	0.3996111248569422
cell_196	120	1	1.261822037923049
cell_197	278	3	0.25236453766198436
cell_198	212	3	1.1269208028339783
cell_199	267	4	0.7544020710256861
cell_200	64	0	1.1816878107209314
cell_201	157	1	2.421250919227182
cell_202	181	1	1.5165666913293487
cell_203	185	1	1.522420451622668
cell_204	118	1	4.217416084776232
cell_205	127	1	3.2272721414741983
cell_206	236	3	0.6044679278341455
cell_207	199	1	1.9842468474838744
cell_208	260	3	1.8569445856691247
cell_209	14	0	1.8443501187575535
cell_210	112	2	0.6061180616344558
cell_211	288	3	0.8185163250728913
cell_212	259	3	0.9189964197947205
cell_213	153	2	0.9918527158400463
cell_214	212	4	0.5502570735088941
cell_215	176	2	0.6286494991621914
cell_216	156	1	0.7962024209727133
cell_217	200	3	0.46822572685776176
cell_218	39	0	1.558588192473895
cell_219	276	3	0.5597239728500456
cell_220	3	0	0.7125670725654287
cell_221	167	2	2.038014781495691
cell_222	17	0	0.669348483218145
cell_223	195	1	0.6615839422704748
cell_224	293	4	1.8463186318856255
cell_225	261	4	0.8559324887454703
cell_226	246	4	0.8479414172565295
cell_227	129	1	0.957404009010337
cell_228	166	1	2.8388242800273593
cell_229	86	0	0.4602194590353189
cell_230	95	0	2.228739033066372
cell_231	113	2	0.6730393679587586
cell_232	126	2	0.7563515999909881
cell_233	223	4	0.9054939613818224
cell_234	258	3	0.33526284762248215
cell_235	12	0	2.0914443440762134
cell_236	215	4	1.1791972111958466
cell_237	297	3	2.5613182413054743
cell_238	296	4	0.8568347791957983
cell_239	128	2	0.7826881914689258
cell_240	124	1	0.37234454032131914
cell_241	227	3	0.47024806890854326
cell_242	221	3	1.7933101455263187
cell_243	284	3	0.5412594823032119
cell_244	190	2	0.6122288528232537
cell_245	251	3	0.8489659573421141
cell_246	252	4	0.7744493586539997
cell_247	75	0	0.875657775574563
cell_248	119	2	1.1201556621476778
cell_249	129	2	3.1896295302369753
cell_250	153	2	0.8380380549428259
cell_251	182	2	1.371513708443397
cell_252	260	4	0.8734914096105081
cell_253	283	3	0.88385631955749
cell_254	78	0	0.841964174762034
cell_255	28	0	2.698494412193333
cell_256	257	3	0.5779026189251205
cell_257	221	3	1.8775289439172254
cell_258	164	2	0.9814064503997975
cell_259	200	4	1.6902006253340733
cell_260	146	2	0.7028029894146144
cell_261	134	1	3.534744473066867
cell_262	293	4	1.0210629775719045
cell_263	76	0	5.9639814652451815
cell_264	205	4	0.45545180230947224
cell_265	232	4	1.674922301038026
cell_266	213	4	1.4615154336933558
cell_267	202	3	1.841304961689357
cell_268	176	1	0.972955688421309
cell_269	130	2	1.4762591287536955
cell_270	141	2	0.4487750542311199
cell_271	23	0	2.7669428550278004
cell_272	213	4	0.4182843868076204
cell_273	160	1	2.0597772548815736
cell_274	225	3	0.7962544208881224
cell_275	142	1	2.776970324025364
cell_276	132	2	1.9977289545360961
cell_277	151	2	0.27669634296945594
cell_278	77	0	0.7121454578979393
cell_279	136	1	1.1618637390090896
cell_280	295	4	1.2571706969520875
cell_281	250	3	1.975349348934419
cell_282	91	0	3.160959047617792
cell_283	141	1	0.5401895149069755
cell_284	246	3	0.5450355960981003
cell_285	43	0	1.0446292830057016
cell_286	246	3	2.3174102579178313
cell_287	130	1	0.663089993742953
cell_288	122	2	0.615253877444133
cell_289	272	4	2.9713957521392405
cell_290	295	3	1.4435253086346995
cell_291	123	1	0.41381426852649517
cell_292	180	2	1.5349647964390962
cell_293	241	3	0.7555267502817227
cell_294	250	3	0.6113060689591259
cell_295	192	1	2.510252504980155
cell_296	242	3	1.2962393224299364
cell_297	279	3	0.6527462971688791
cell_298	183	2	0.7726586088513303
cell_299	65	0	0.5925224153078954
cell_300	195	1	2.2247446199207452
cell_301	282	3	0.7741832696379002
cell_302	130	1	0.43413582541614837
cell_303	225	4	1.861922275341033
cell_304	266	4	0.8678638899440104
cell_305	189	1	1.885952752789046
cell_306	158	2	0.37911669297196465
cell_307	125	2	1.2259497133046078
cell_308	143	2	0.1841686845035503
cell_309	111	1	3.1782412143276657
cell_310	251	3	0.9894067661974373
cell_311	299	4	3.6972421310920818
cell_312	232	3	0.6205503413284529
cell_313	298	4	0.38327198307982524
cell_314	19	0	0.5571313178519257
cell_315	10	0	1.0160278482135832
cell_316	268	4	0.8186021913748001
cell_317	36	0	0.6101617199097801
cell_318	174	2	2.5834249341741122
cell_319	187	1	1.9230766704633002
cell_320	166	2	0.8363790460554696
cell_321	252	4	0.4244701349971878
cell_322	255	4	1.041104888365809
cell_323	119	2	1.2468740928328674
cell_324	144	2	1.9376280862541588
cell_325	241	4	0.9290663028840661
cell_326	249	3	0.7988435163172412
cell_327	285	4	0.33284264668775726
cell_328	214	4	0.37279801660678247
cell_329	208	3	0.17390581207480665
cell_330	118	1	1.016402536195755
cell_331	244	4	1.1674559533098168
cell_332	289	3	1.4390046419383167
cell_333	274	4	1.9236755747321483
cell_334	80	0	0.7608504896844528
cell_335	83	0	0.8465495551134515
cell_336	215	3	3.4185661369437503
cell_337	224	4	1.7948765208473518
cell_338	210	4	0.8394782348555172
cell_339	296	3	1.275306788657467
cell_340	247	3	0.9928345023415965
cell_341	118	1	0.3183446138797062
cell_342	184	2	0.3035278021809888
cell_343	108	2	1.5333271020845225
cell_344	147	2	0.5909633871920404
cell_345	76	0	1.6924042601659846
cell_346	242	4	1.2992555964631998
cell_347	275	3	1.263033686960832
cell_348	170	1	0.42114350910259335
cell_349	185	1	0.3834154450513301
cell_350	58	0	0.23178812248527025
cell_351	124	2	0.8523706534457379
cell_352	211	4	2.682386068609885
cell_353	30	0	0.8246022952041091
cell_354	201	3	0.46217439494935453
cell_355	293	3	0.8159521341681698
cell_356	191	1	0.867812500113519
cell_357	57	0	1.9505971569436351
cell_358	48	0	0.5189652674110857
cell_359	150	1	2.449753127293793
cell_360	284	4	1.264988750980048
cell_361	221	3	0.9014460725842487
cell_362	219	4	1.0673105802495915
cell_363	231	4	0.28369093050750954
cell_364	53	0	1.2887910855494207
cell_365	153	1	1.6745565487661278
cell_366	243	3	3.772816084324679
cell_367	0	0	0.9199352256584717
cell_368	141	2	7.0115373547127815
cell_369	55	0	0.6127343828591114
cell_370	116	1	1.5720525346370489
cell_371	154	2	1.7655714404734177
cell_372	176	2	3.4278840546146303
cell_373	206	3	2.2389882101365948
cell_374	120	1	0.5930974825492035
cell_375	254	3	1.2029196441655945
cell_376	249	3	2.3269888730145465
cell_377	120	2	2.4297958897915173
cell_378	178	2	1.1893953549035894
cell_379	233	4	2.269074111105647
cell_380	79	0	0.39542728414595074
cell_381	121	1	0.6834024675498557
cell_382	278	4	0.5239070750540006
cell_383	64	0	0.36374115757873854
cell_384	115	2	0.5881744968116946
cell_385	169	2	0.7880655439845167
cell_386	66	0	1.0334927298424645
cell_387	55	0	0.3284835297178684
cell_388	205	3	2.209166065327873
cell_389	133	1	2.074982310751161
cell_390	92	0	0.6813102903307348
cell_391	254	3	1.9550116215402855
cell_392	199	2	0.7557317396632925
cell_393	126	2	1.2799930349027564
cell_394	271	3	1.370013170674963
cell_395	16	0	0.47259081560820526
cell_396	210	3	0.5815323486031453
cell_397	290	3	1.7544562636225995
cell_398	143	1	1.5729762059837826
cell_399	276	3	1.8009367469455515
cell_400	26	0	0.8651781034894565
cell_401	25	0	1.2319686072160867
cell_402	215	4	0.9266770008963754
cell_403	161	1	2.7796978758628845
cell_404	226	3	2.367959509257919
cell_405	161	2	0.14488991007425744
cell_406	297	3	0.295375688438943
cell_407	95	0	1.857399602220681
cell_408	241	4	1.4023630445091473
cell_409	147	1	2.5062836927871253
cell_410	246	3	0.5112858103909996
cell_411	226	3	0.9276826909372079
cell_412	78	0	0.6015776645046695
cell_413	271	4	2.472408233125192
cell_414	220	4	0.6332241342585274
cell_415	193	1	0.6121544383422828
cell_416	278	4	2.169365612313817
cell_417	34	0	1.5662019518557306
cell_418	286	3	4.967957781798774
cell_419	165	2	0.7690052707534245
cell_420	173	1	0.5208613850657086
cell_421	217	3	1.0585401626742557
cell_422	226	3	0.2376371645701339
cell_423	183	1	0.6505847840319321
cell_424	213	4	1.2579637867815514
cell_425	239	3	6.46255826803609
cell_426	297	3	2.5233947251266025
cell_427	143	2	3.0356507825280263
cell_428	225	4	0.5387087345175093
cell_429	11	0	0.5922464085525984
cell_430	84	0	2.0283454429769123
cell_431	16	0	0.5327549385667131
cell_432	55	0	1.4940384138844782
cell_433	158	2	1.4243863048832057
cell_434	239	4	3.8933962265741533
cell_435	234	4	0.873929521320956
cell_436	184	1	1.855049569663231
cell_437	258	4	1.0880912391993205
cell_438	228	4	1.3211101400472889
cell_439	244	3	1.1461630616595764
cell_440	269	3	1.0835389799173993
cell_441	287	3	0.28747567297227605
cell_442	59	0	1.006260595491049
cell_443	186	1	1.302999364776084
cell_444	283	3	0.6181239464310967
cell_445	229	4	1.0054586492427595
cell_446	111	2	1.8976231344174133
cell_447	255	4	2.1761205086048414
cell_448	248	4	1.3851900859879231
cell_449	65	0	1.0197911563357456
cell_450	255	3	0.3972103796188446
cell_451	212	3	1.3346479141346788
cell_452	184	1	3.553027445896467
cell_453	6	0	2.530259259858816
cell_454	225	3	0.6501203999299173
cell_455	222	4	3.902280802946689
cell_456	82	0	0.21252825502682388
cell_457	100	2	1.1892261460636817
cell_458	111	2	0.688934590676367
cell_459	222	3	1.973684076096414
cell_460	120	1	0.5593873767662763
cell_461	279	4	1.2150730185947323
cell_462	77	0	0.5734064644746759
cell_463	155	1	1.664064975545304
cell_464	195	2	0.4543395461879017
cell_465	282	4	0.9956063938746268
cell_466	237	4	1.3595257829475984
cell_467	291	4	0.826956058065853
cell_468	131	1	1.0216925534820007
cell_469	248	4	4.962886692172898
cell_470	190	1	1.2276747869636697
cell_471	49	0	0.7821813901117952
cell_472	250	4	1.569039667552298
cell_473	27	0	0.517079504408273
cell_474	161	1	1.2242666111563631
cell_475	142	1	1.0789484305195016
cell_476	180	1	0.6902731536596886
cell_477	111	1	0.6787417291334695
cell_478	202	4	1.1266727111802177
cell_479	201	4	0.6166537497335722
cell_480	77	0	1.5510458774180347
cell_481	239	3	3.1714853914305845
cell_482	117	1	2.0703718825969633
cell_483	175	2	1.5970026977996195
cell_484	160	2	1.4733687929247816
cell_485	112	2	1.816467941882178
cell_486	225	3	0.49937520867054785
cell_487	131	1	0.4339272287695059
cell_488	239	3	0.46645021298922035
cell_489	286	3	0.9784030070553937
cell_490	38	0	0.9479486212603214
cell_491	127	1	5.755945980699753
cell_492	205	3	2.248203021361456
cell_493	248	4	0.45950814757488306
cell_494	270	3	1.7521878622742315
cell_495	109	1	1.2020246594957071
cell_496	125	2	0.69477902534804
cell_497	196	2	0.8604686834284483
cell_498	238	4	0.9850316137438613
cell_499	279	4	1.0886029824990207
cell_500	199	1	0.956575537485155
cell_501	276	3	0.4011794667437782
cell_502	132	2	0.5768683133152159
cell_503	137	1	0.9394774747958281
cell_504	176	2	1.6347689553264733
cell_505	252	3	0.6380069797929127
cell_506	135	2	0.5967297234710693
cell_507	149	1	2.2742744086518063
cell_508	180	2	1.6669938030291735
cell_509	5	0	1.6482218064730572
cell_510	156	2	0.5192050421993669
cell_511	188	1	0.6821254180213905
cell_512	192	2	1.2446405570733208
cell_513	219	3	0.6436005674562761
cell_514	115	2	3.2904527824095644
cell_515	146	1	2.3853807577366206
cell_516	150	1	0.5084427852734502
cell_517	293	4	0.6047562134173391
cell_518	52	0	0.22499110636517303
cell_519	297	4	1.0748359286884186
cell_520	134	2	0.8523810737691724
cell_521	244	4	0.4280604663319974
cell_522	141	2	0.9569523771660233
cell_523	146	1	1.529035494840305
cell_524	43	0	1.0603594617670369
cell_525	199	2	1.4448558828197808
cell_526	134	1	3.524814651132976
cell_527	1	0	0.3033849969532839
cell_528	198	1	0.8821695266852865
cell_529	212	3	1.2530705083128606
cell_530	270	3	0.9041810979919607
cell_531	103	1	0.6967341178984519
cell_532	254	3	1.4691591060253424
cell_533	269	4	0.9034135080293383
cell_534	229	4	0.39680339246067514
cell_535	86	0	1.4097846578052882
cell_536	6	0	1.569671910979108
cell_537	279	4	3.757100515652556
cell_538	193	2	0.44266471391804035
cell_539	128	2	0.8849808163335561
cell_540	144	2	0.547967489864283
cell_541	255	4	2.8306264552634497
cell_542	250	3	0.3024131837116105
cell_543	68	0	0.5182388304390689
cell_544	175	2	0.5887041108757098
cell_545	186	2	1.430842988214904
cell_546	272	4	0.8231672565157745
cell_547	299	3	0.4154811993929017
cell_548	108	2	0.5637550735248607
cell_549	182	1	1.3369476910200353
cell_550	141	1	0.23668147008638116
cell_551	150	1	0.928576497582424
cell_552	199	2	0.9630049493791686
cell_553	261	4	0.3050901311591343
cell_554	89	0	0.91411499488392
cell_555	150	1	2.199215863652758
cell_556	153	1	0.7685866453314364
cell_557	215	4	1.5432214073835855
cell_558	236	4	0.4820336904651482
cell_559	154	2	1.6324930724360975
cell_560	275	3	0.6426568731291981
cell_561	191	1	3.734582853138384
cell_562	67	0	0.9071597679794462
cell_563	274	4	0.3378228103673593
cell_564	200	3	1.8032046115132288
cell_565	274	4	1.3790537295140435
cell_566	93	0	0.4820886582281185
cell_567	266	4	1.0559370790893554
cell_568	132	1	1.134209188922051
cell_569	192	1	1.1884420262963384
cell_570	188	1	1.4250923114154856
cell_571	299	4	0.49634321326256314
cell_572	208	4	1.1997703576221785
cell_573	249	4	1.0217237405014015
cell_574	169	1	0.9938470744278661
cell_575	164	2	0.4654782322386137
cell_576	281	3	1.1613010865871758
cell_577	124	1	0.31780813365033633
cell_578	254	4	0.7874657006078392
cell_579	283	4	1.1495169585663245
cell_580	29	0	1.0031297328540236
cell_581	192	2	0.7144280991485626
cell_582	184	2	0.941448830002555
cell_583	263	4	1.5766530566747936
cell_584	155	2	0.3544519799120321
cell_585	170	2	1.013205935161735
cell_586	72	0	0.873315726633372
cell_587	104	2	0.8413323044881623
cell_588	263	3	0.616994919677434
cell_589	184	2	0.2530409766485408
cell_590	118	2	1.4863378698259049
cell_591	293	4	0.6014099368248668
cell_592	119	2	0.6253024777622056
cell_593	129	2	0.34676263486743886
cell_594	299	4	0.905681875147228
cell_595	143	1	0.2656774532216749
cell_596	203	4	3.019491105163659
cell_597	39	0	1.871602111950489
cell_598	177	1	1.137539428750347
cell_599	28	0	1.172755306629629
cell_600	256	3	0.5892873919664899
cell_601	211	3	0.34655993137776836
cell_602	261	3	0.9032056125222828
cell_603	96	0	0.5401726226695488
cell_604	214	3	0.6277574922401741
cell_605	248	4	1.2301399927524037
cell_606	210	4	0.7638519551549319
cell_607	282	3	0.866100688733696
cell_608	209	3	0.8805112448114308
cell_609	269	3	3.276172982988634
cell_610	260	4	0.9695598061553157
cell_611	51	0	2.4191536673837697
cell_612	298	4	0.6201080846990069
cell_613	163	1	1.3385483658848192
cell_614	7	0	0.7816044405076725
cell_615	214	4	1.1056766680282557
cell_616	254	4	1.2313069091063105
cell_617	175	2	2.8691935446808423
cell_618	137	2	0.8586282759020414
cell_619	59	0	0.6270474253531724
cell_620	234	3	0.28844676704735156
cell_621	282	4	0.6319519681475402
cell_622	224	4	1.5519214222333733
cell_623	226	3	0.5482176677205419
cell_624	248	3	2.15020763298895
cell_625	194	2	0.40684625186371587
cell_626	252	4	1.015090078050378
cell_627	191	2	3.0569433783432713
cell_628	237	3	1.2513001514413102
cell_629	202	4	1.431079865171007
cell_630	62	0	0.3477444220868977
cell_631	199	1	1.2409358793235759
cell_632	273	3	0.7091193975987746
cell_633	239	4	1.5370581606454663
cell_634	253	3	0.4488024135891387
cell_635	201	3	0.44186241386744335
cell_636	296	4	0.6179962281281967
cell_637	106	1	0.5527979991316562
cell_638	155	1	0.7575225968364582
cell_639	212	3	1.0511587702702032
cell_640	100	2	0.6706242546308793
cell_641	17	0	0.4593169484963046
cell_642	164	2	0.8390090049177217
cell_643	284	4	0.4565896554648229
cell_644	266	3	2.4945680686739866
cell_645	281	3	0.2945825225512066
cell_646	192	1	1.451189554121979
cell_647	299	4	4.123742989462733
cell_648	209	3	0.7017862180976583
cell_649	165	1	0.5776690254711292
cell_650	245	3	1.1307936171807493
cell_651	267	4	0.2017604544014158
cell_652	209	4	0.288453202701847
cell_653	163	2	1.3598925074259527
cell_654	116	2	0.7877364643800804
cell_655	259	3	2.540915332913247
cell_656	268	4	2.2451950039880724
cell_657	294	4	4.684863125861115
cell_658	209	3	1.1479473217801799
cell_659	74	0	1.5763354698101073
cell_660	102	1	0.47618175649863026
cell_661	138	2	1.1897089121142874
cell_662	251	3	1.0458133339623206
cell_663	142	2	0.6767362618181
cell_664	49	0	0.42713367703030725
cell_665	206	4	1.8350112807379437
cell_666	205	3	0.7369395829953078
cell_667	164	1	3.152241782637552
cell_668	215	3	0.5111458743783539
cell_669	281	4	1.5122272872942135
cell_670	170	2	1.245522595428148
cell_671	69	0	2.9953125618456475
cell_672	136	2	1.29127473616343
cell_673	253	4	0.8133494143697114
cell_674	210	3	1.0741913085562502
cell_675	281	3	1.1999624809419307
cell_676	176	2	2.8807431425210885
cell_677	79	0	0.46710796632589907
cell_678	219	3	1.0062887051122973
cell_679	73	0	3.9850301801056736
cell_680	87	0	0.8579218917833947
cell_681	200	4	0.2899106584785777
cell_682	14	0	1.1835256088068102
cell_683	200	4	0.5883525091658806
cell_684	7	0	0.788140414389512
cell_685	155	1	1.3073194644914783
cell_686	56	0	0.8949392835287169
cell_687	152	1	5.555107811018531
cell_688	103	1	2.6667329078533615
cell_689	176	2	1.4597976889445383
cell_690	253	4	0.8991211149274966
cell_691	148	2	4.665547908074199
cell_692	112	1	0.6668815671702684
cell_693	202	3	0.4339329141346638
cell_694	237	4	0.5363162617671364
cell_695	22	0	2.3149422193702565
cell_696	246	3	2.1866122973517896
cell_697	290	4	0.6563512256642507
cell_698	233	3	1.028302669904791
cell_699	50	0	0.5666331064029838
cell_700	247	3	1.270895013095685
cell_701	207	3	1.0645138993601144
cell_702	168	1	1.2010759869645389
cell_703	38	0	0.3539549691695332
cell_704	274	4	0.3912875854123589
cell_705	230	3	0.43043845480040055
cell_706	90	0	1.729100430949266
cell_707	89	0	0.7844792143202673
cell_708	48	0	1.1985038226027294
cell_709	286	3	1.4680181483379318
cell_710	226	4	2.4546436356833596
cell_711	118	2	0.3936424129328769
cell_712	165	1	0.47444571625076076
cell_713	221	3	1.0534307512134702
cell_714	119	2	2.121082814847047
cell_715	166	1	0.46611366325330456
cell_716	167	1	0.4448177598496186
cell_717	154	1	0.8888425774609263
cell_718	273	3	1.1088731666931948
cell_719	153	2	2.2223342581715455
cell_720	37	0	1.7019148022273738
cell_721	56	0	0.25919359104014583
cell_722	282	4	0.400197506903985
cell_723	277	3	1.0559288618612
cell_724	275	4	0.5861212837009482
cell_725	177	1	0.795962041308084
cell_726	289	3	2.324599869633578
cell_727	227	3	1.7744460555365271
cell_728	149	1	0.6963223163481069
cell_729	139	2	2.0997636498024828
cell_730	270	4	1.0545339581928408
cell_731	45	0	0.9267422426856143
cell_732	131	1	5.045526065477163
cell_733	152	1	0.756377771139644
cell_734	184	1	1.509558688135417
cell_735	131	1	0.9155104500365404
cell_736	148	1	0.9919791877910021
cell_737	75	0	0.9813879648558634
cell_738	165	2	0.6422770817015677
cell_739	138	2	0.9090244716639166
cell_740	245	3	0.2940530362340595
cell_741	217	4	1.160364644055843
cell_742	209	4	1.299400663019947
cell_743	269	4	0.6437200621839549
cell_744	206	3	0.5695220174341725
cell_745	57	0	1.1980364863350734
cell_746	193	2	2.566172112275668
cell_747	231	4	2.698999225104012
cell_748	87	0	0.6136433672305978
cell_749	27	0	1.878823480383648
cell_750	13	0	1.0411377073731367
cell_751	209	4	0.6785714187516282
cell_752	233	4	0.7034523939544263
cell_753	7	0	2.9442601881804125
cell_754	183	1	0.5114293331391018
cell_755	11	0	1.075361163925666
cell_756	249	4	0.3357085845424791
cell_757	291	3	1.3951307976730993
cell_758	121	1	1.5185871315224948
cell_759	228	4	1.0250374167561405
cell_760	295	3	0.8843639968306759
cell_761	165	1	0.7675471642395895
cell_762	91	0	1.0344051187234475
cell_763	287	4	1.123296430167072
cell_764	286	4	1.2573620077183356
cell_765	247	3	0.9388014408021907
cell_766	209	4	0.7208077429596376
cell_767	247	3	0.47389445247635364
cell_768	201	3	2.088386542243883
cell_769	244	4	1.4821262550631975
cell_770	217	3	0.8483473461404015
cell_771	201	3	5.569948759499842
cell_772	67	0	1.4329351297992527
cell_773	169	1	2.2661165702180015
cell_774	124	2	0.7503735078132553
cell_775	251	3	0.7278683041498736
cell_776	226	4	1.3424636678078228
cell_777	100	1	2.3499304995606587
cell_778	146	2	0.24903634488580353
cell_779	132	1	0.6711903540588351
cell_780	188	2	0.8245666961575578
cell_781	262	3	0.8557025511657802
cell_782	108	1	0.49874571980488863
cell_783	13	0	1.5228572591508491
